Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Botswana,BWA,"Population ages 65 and above, total",SP.POP.65UP.TO,22219,22333,22344,22322,22373,22535,22811,23210,23660,24047,24333,24531,24673,24819,25008,25254,25564,25958,26520,27296,28138,29003,29973,31073,32343,33785,35417,37222,39021,40653,42132,43467,44668,45831,47047,48370,49808,51344,52933,54520,56063,57553,59000,60383,61683,62910,64086,65262,66469,67736,69097,70462,71868,73495,75702,78461,81339,84202,86998,89681,92044,92913,94672,98457
Central African Republic,CAF,"Population ages 65 and above, total",SP.POP.65UP.TO,74426,75199,76199,77351,78533,79697,80848,81993,83171,84428,85746,87087,88470,89928,91464,93054,94441,95460,96173,96539,96554,96194,95463,94418,93158,91761,90229,88574,86997,85896,85298,84981,84963,85209,85601,85734,85885,86394,87050,87897,88835,89225,89794,90886,91889,93139,94261,95512,97283,90415,83486,85204,86740,87993,88164,90450,95782,100545,105479,108217,110617,113579,109286,107958
Canada,CAN,"Population ages 65 and above, total",SP.POP.65UP.TO,1364068,1392947,1420113,1446868,1476046,1507597,1541912,1577573,1614150,1651231,1689098,1754036,1795637,1843456,1894767,1951918,2014912,2081657,2149970,2221969,2299201,2370306,2435840,2495884,2563778,2643705,2732048,2828552,2918037,3017907,3112379,3199807,3281919,3357426,3431274,3504276,3579778,3654970,3721995,3783197,3846858,3915764,3984823,4051687,4125469,4206596,4303345,4409556,4528591,4658387,4798030,4955040,5144768,5342375,5535951,5716361,5917875,6124302,6350422,6595222,6839606,7067591,7375348,7762172
Central Europe and the Baltics,CEB,"Population ages 65 and above, total",SP.POP.65UP.TO,6638890,6859932,7083498,7328441,7601470,7904127,8230726,8555845,8866316,9151099,9409278,9669691,9975603,10289764,10600476,10915996,11205828,11489431,11730534,11919295,11984170,11860639,11635084,11365632,11251563,11329716,11474365,11679193,11936599,12158067,12356732,12557511,12755045,13007078,13275695,13547195,13805196,14048202,14278694,14491375,14646800,14769876,14906480,15072302,15233797,15387696,15527439,15625112,15711031,15830555,15915862,16095601,16383580,16712791,17094811,17508646,17921508,18328550,18735386,19160106,19552702,19628400,19837095,20147581
Switzerland,CHE,"Population ages 65 and above, total",SP.POP.65UP.TO,544778,558569,572848,585300,599851,615887,632288,650670,668043,684350,701762,719617,738081,757838,777778,797025,814397,831468,848274,863603,875293,882540,888517,893463,899573,910908,926001,940505,954002,966936,979156,990780,1001895,1013097,1025182,1037833,1049760,1061279,1073658,1087201,1101575,1117294,1131803,1144982,1161025,1179013,1200072,1226172,1255901,1287481,1316904,1349130,1383668,1417298,1450556,1481667,1510432,1538275,1565579,1593471,1619789,1647599,1686839,1743078
Channel Islands,CHI,"Population ages 65 and above, total",SP.POP.65UP.TO,14572,14827,15043,15257,15511,15788,16049,16290,16545,16828,17134,17437,17695,17938,18194,18439,18713,19030,19323,19543,19665,19721,19731,19701,19776,19988,20194,20364,20535,20713,20880,20987,21005,20978,20942,20939,20979,21022,21108,21247,21399,21614,21921,22266,22643,23000,23266,23489,23789,24200,24634,25285,26164,26948,27632,28306,28954,29580,30195,30784,31362,31858,32345,32975
Chile,CHL,"Population ages 65 and above, total",SP.POP.65UP.TO,272241,283762,295553,307563,319381,330964,342476,353753,364753,376020,387507,399205,411687,425290,439788,455231,471909,489716,508060,526813,546141,565476,584874,605162,626925,650714,676581,704611,735778,771417,811383,855611,903829,953909,1003142,1050336,1095558,1138758,1181217,1224168,1267713,1311738,1355987,1399316,1442389,1486068,1529777,1574032,1619576,1667478,1717745,1770493,1826718,1888752,1956947,2030296,2108932,2192375,2279210,2366326,2445893,2520847,2600569,2691947
China,CHN,"Population ages 65 and above, total",SP.POP.65UP.TO,26455772,25634481,25457818,25624153,25747105,26069691,26711211,27477227,28354658,29315516,30341588,31449111,32530180,33672345,34944529,36212405,37382123,38553582,39957839,41562462,43128245,44633841,46172001,47691245,49236531,50941955,52744726,54538933,56429800,58533404,60677425,62748626,64965926,67483718,70143458,72930761,75793073,78737950,82004304,85367805,88605807,91745114,94770455,97655910,100280577,102858663,105587761,108232442,110679600,113132856,115864936,119158920,123085063,127548396,132606714,138723134,145590266,153317820,161544776,169793276,178436948,186512604,194624975,201958336
Cote d'Ivoire,CIV,"Population ages 65 and above, total",SP.POP.65UP.TO,88678,92475,96477,100627,104896,109291,113827,118516,123391,128560,134149,140204,146690,153514,160607,167991,174729,180944,187687,194893,202472,210320,218370,226600,235406,244814,254435,264249,274313,285602,298300,311646,325564,339928,354565,369269,383904,398373,412212,422693,430009,436837,443262,449000,453985,458442,462368,465952,477035,496652,518575,543353,571578,604529,626492,636194,648878,664046,681553,701561,721753,743222,769851,800410
Cameroon,CMR,"Population ages 65 and above, total",SP.POP.65UP.TO,201940,206065,211089,217018,223002,229054,235207,241492,247928,254535,261324,268327,275509,282804,290163,297520,304615,311445,318504,325665,333698,342222,348318,353987,361704,370012,378283,386609,394929,403213,411631,420024,428387,436868,445333,453731,462168,470652,479194,487740,496221,504902,514102,523524,532706,541579,550471,559933,570018,580534,591527,602758,613716,623782,634706,647785,661872,676487,692386,710166,727829,744517,763541,787297
"Congo, Dem. Rep.",COD,"Population ages 65 and above, total",SP.POP.65UP.TO,460436,468561,476915,485921,495386,505755,517804,531145,545142,559588,574577,589714,605159,621502,638555,656248,674282,692713,715083,740421,763914,786622,810758,836852,864949,893420,921366,950656,981953,1014796,1050989,1089129,1129682,1173999,1231629,1284054,1312716,1341362,1386361,1440131,1493592,1548748,1604858,1661774,1721294,1784468,1849668,1916186,1985081,2057831,2134910,2215849,2298939,2381077,2459197,2533965,2615502,2703264,2788663,2875139,2962325,3047469,3139539,3246006
"Congo, Rep.",COG,"Population ages 65 and above, total",SP.POP.65UP.TO,37449,38605,39848,41140,42441,43732,45014,46285,47555,48842,50148,51464,52795,54145,55511,56674,57597,58506,59384,60103,60720,61420,62575,64373,66867,69719,72358,74843,76999,78567,79955,81607,83716,86213,88503,90512,92431,93641,94695,96120,98538,101173,102988,105261,107802,110304,112868,115317,117266,119871,122833,125223,127637,129997,132589,135652,139330,143515,148125,153208,158730,164837,171992,180207
Colombia,COL,"Population ages 65 and above, total",SP.POP.65UP.TO,445176,456175,467984,480669,494280,508787,524229,540708,558081,576426,596242,617586,640176,664289,690698,719534,751168,786048,823065,860089,896589,933186,970355,1007868,1044814,1077824,1111496,1149699,1188933,1229950,1273072,1317798,1363434,1409759,1456771,1504438,1553997,1607208,1663950,1721802,1779070,1836793,1896512,1959976,2028406,2101943,2185364,2280228,2385239,2498026,2615833,2741668,2877258,3020451,3175202,3339153,3504957,3683224,3879479,4087625,4285386,4460307,4659807,4905332
