Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,110423,111799,113067,114457,115877,117318,118810,120049,120957,121590,121736,121785,122171,122630,122972,123279,123513,123700,123749,123689,123743,123886,124072,124287,124508,124709,124855,124930,124922,124851,125004,125404,125782,126087,126297,126415,126437,126390,126324,126288,126085,126256,126982,127660,128282,128838,129327,129821,130399,130964,131479,131975,132420,132824,133204,133566,133907,134231,134537,134819,135102,135357,135411,135364
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,47025,49482,51967,54587,57401,60313,63295,66339,69412,72480,74781,76600,79062,81928,84868,87899,91025,94234,97347,100370,103493,106734,110032,113410,116969,120699,124598,128398,132072,135842,139662,143451,147141,150777,154411,158039,161659,165269,168870,172463,176048,179582,183023,186347,189530,192568,195465,198323,201297,204424,207657,210931,214195,217409,220570,223684,226737,229710,232596,235393,238104,240401,242167,243889
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,115894,119342,123095,127128,131323,135720,140333,145166,150227,155524,161036,166736,172621,178699,184973,191459,198171,205108,212273,219600,227014,234509,242087,249814,257708,265734,273903,282211,290593,299031,306907,311988,300171,287816,287410,283737,283862,288714,294029,301841,311481,320984,330363,339572,348566,356045,361136,365211,369262,373320,377418,381600,385887,390239,394538,398669,402740,406098,408571,410862,413208,415688,418190,420683
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,248218,253628,259300,265260,271476,274435,273969,273390,272769,272163,271622,275498,286800,302938,320743,339512,360034,382145,409298,437967,456229,472409,492377,510517,528899,547565,566391,585092,602904,620015,637115,654221,672808,692898,712916,732303,750856,768879,786672,804452,822409,840102,856692,872591,888696,905450,923229,942101,962012,982815,1004380,1024694,1042920,1060428,1077545,1094542,1111588,1128743,1145953,1163271,1180817,1199123,1217995,1236969
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,841827,858032,874898,892477,910856,930121,950385,971731,994235,1017628,1040804,1062959,1084293,1105578,1127400,1149829,1168116,1182122,1196521,1211373,1226713,1242632,1259111,1276117,1293699,1311812,1330419,1349783,1373644,1408886,1452306,1497382,1544641,1593563,1642980,1687206,1730276,1777357,1825223,1874983,1926591,1969134,2011946,2060297,2105150,2153186,2197584,2240179,2288359,2250532,2208874,2244083,2266988,2282158,2268482,2267967,2309345,2346526,2386430,2411803,2444831,2483247,2456263,2467628
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,9061136,9233088,9393474,9557206,9727345,9894308,10071677,10248482,10409199,10543934,10693060,11020264,11145914,11273787,11424105,11582471,11723914,11848574,11953673,12061154,12208861,12352193,12491539,12606617,12717147,12826484,12950918,13120761,13287281,13520912,13723253,13894281,14053053,14200363,14352168,14497158,14648447,14796996,14920341,15042362,15188055,15360826,15532792,15674662,15822784,15975662,16139677,16296084,16472578,16661983,16848382,17016358,17208263,17397233,17575548,17709821,17912345,18132886,18404527,18684549,18893273,18998959,19340865,19912181
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,44115374,44551819,44961185,45393489,45845477,46225267,46594228,47048835,47469537,47828606,48086585,48329369,48682688,49052074,49457166,49906784,50347797,50758585,51112443,51418815,51712042,52000869,52297334,52575780,52836224,53071308,53297708,53520473,53696861,53732794,53682714,53525399,53321540,53256530,53216649,53109951,52966903,52840042,52719564,52599987,52273521,51869226,51517081,51353527,51214063,51077189,50948675,50760510,50583338,50450933,50294386,50267469,50187673,50091642,49996865,49893025,49775809,49665545,49588063,49544843,49449590,48765474,48589815,48540523
Switzerland,CHE,"Population, male",SP.POP.TOTL.MA.IN,2581188,2634953,2706397,2768612,2817732,2852729,2884863,2923076,2962212,2997435,3019595,3035263,3058016,3078825,3093265,3089698,3069779,3057543,3056362,3061787,3073998,3091788,3111336,3125614,3137708,3152706,3170046,3190802,3215295,3243118,3279419,3321633,3357974,3389086,3416337,3438795,3453366,3461536,3472045,3489759,3510334,3532614,3560724,3589358,3616152,3641621,3667017,3704392,3758140,3810007,3853210,3899835,3945368,3995302,4047989,4097673,4147468,4189963,4221838,4253116,4285901,4320579,4357730,4413928
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,53764,54233,54800,55410,56039,56680,57334,57992,58629,59239,59871,60505,61077,61586,62039,62427,62674,62769,62816,62853,62885,63145,63712,64385,65080,65790,66475,67104,67715,68358,69130,69699,69873,69954,70014,70032,70197,70568,70953,71319,71641,72081,72717,73394,74076,74764,75445,76120,76795,77467,78129,78762,79364,79926,80447,80836,81046,81255,81556,81877,82161,82402,82618,82826
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,4094992,4178710,4262771,4347212,4431192,4514249,4596655,4678394,4759423,4840391,4921083,5001297,5081787,5162676,5243581,5324795,5406694,5489022,5571235,5653385,5736382,5819999,5904124,5990376,6079377,6171461,6267100,6367051,6471188,6578587,6689387,6801566,6911900,7019948,7126034,7230587,7333069,7431499,7528225,7622824,7713694,7802404,7887814,7969843,8050167,8129901,8209190,8289657,8372794,8457837,8543399,8628448,8712256,8796396,8885067,8976465,9085689,9230995,9397629,9549157,9633238,9672367,9717972,9770154
