Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Barbados,BRB,"Population ages 15-64, total",SP.POP.1564.TO,134476,135823,137172,138481,139693,140848,142060,143258,144340,145210,145771,146169,146970,148143,149412,151247,153082,154751,156715,158704,160706,162616,163992,164928,165699,166202,166654,167111,167370,167381,168023,169396,170637,171635,172406,172976,173464,173944,174455,174977,175156,175863,177277,178662,180182,181776,183403,184884,185973,186663,187228,187801,188284,188694,189055,189418,189813,190027,189983,189714,189210,188580,187955,187527
Brunei Darussalam,BRN,"Population ages 15-64, total",SP.POP.1564.TO,46149,47338,48705,50577,52946,55685,58846,62229,65767,69425,72326,74575,77358,80698,84395,88415,92667,97062,101278,105291,109367,113561,118318,123646,129134,134778,140590,145988,150906,155850,160810,165494,170227,175430,180917,186699,192727,198905,205172,211625,218357,225243,232133,238958,245638,252132,258447,264010,268965,274075,279421,284867,290109,295144,300158,305116,309815,314193,318285,322116,325652,328573,330673,332575
Bhutan,BTN,"Population ages 15-64, total",SP.POP.1564.TO,123947,127912,132259,136742,141277,146001,150830,155848,161059,166482,172081,177818,183695,189720,195904,202266,208823,215588,222588,229750,237006,244370,251852,259560,267538,275749,284218,292940,301887,311065,319764,325737,314406,302811,303983,302042,304487,312399,321336,332090,344047,356598,369740,383440,397726,410909,421644,431366,441005,450335,459312,467961,476208,484044,491673,499266,506861,515542,525229,534677,543690,552139,560035,567533
Botswana,BWA,"Population ages 15-64, total",SP.POP.1564.TO,261413,264627,268073,271732,276417,278951,278316,277492,276653,276026,275705,279910,292160,310296,330320,351189,373829,398022,428190,459697,477474,492599,512908,531308,550395,570205,590270,610500,630637,651523,674183,698281,724965,754352,785491,817540,849670,881800,913731,945549,977490,1008965,1039013,1067850,1096134,1124250,1152557,1181404,1211049,1241268,1271227,1297541,1316337,1331773,1348899,1367982,1389470,1413252,1438946,1466523,1496080,1526008,1554129,1581133
Central African Republic,CAF,"Population ages 15-64, total",SP.POP.1564.TO,938852,952181,965824,979546,995287,1014867,1036652,1059262,1082673,1106610,1129532,1150224,1169263,1188135,1207953,1228839,1246819,1261354,1275920,1290563,1305390,1320625,1336446,1352961,1369866,1386718,1403289,1419474,1439221,1469863,1507633,1547178,1591390,1639916,1690985,1735681,1779673,1830896,1884473,1941644,2002188,2050248,2100499,2158587,2209349,2263416,2308309,2347433,2394055,2372764,2345096,2365514,2360692,2345135,2294900,2270198,2308218,2342942,2380318,2412586,2457416,2493423,2479741,2511201
Canada,CAN,"Population ages 15-64, total",SP.POP.1564.TO,10500309,10682072,10874824,11094519,11343971,11612010,11917870,12245902,12567366,12865646,13199949,13764507,14078785,14403863,14761312,15127188,15465136,15774846,16054086,16326051,16632230,16906146,17149677,17344744,17523696,17694065,17871016,18088104,18295461,18597598,18842577,19032708,19214668,19398191,19605262,19816807,20041214,20265610,20470263,20688980,20945109,21240018,21535514,21788580,22053537,22326837,22602298,22843813,23091639,23343138,23575491,23745000,23900795,24030435,24143294,24192340,24335145,24510756,24759072,25010539,25151490,25152138,25509499,26198809
Central Europe and the Baltics,CEB,"Population ages 15-64, total",SP.POP.1564.TO,58316210,58788884,59407279,60148931,60962386,61714409,62483276,63318078,64047859,64727208,65325243,65872941,66449452,66954031,67381240,67758515,68081140,68311083,68504071,68671240,68909273,69330717,69986666,70796098,71424722,71801715,72109226,72390606,72628828,72786965,72934571,72964354,72959270,73150218,73381893,73525174,73615788,73738403,73890020,74077048,73997452,73815948,73674270,73764493,73845891,73865968,73839048,73664010,73421389,73254639,72866479,72429085,71939106,71412562,70812961,70145131,69426772,68688903,67989437,67339768,66695891,65436444,65005889,64767776
Switzerland,CHE,"Population ages 15-64, total",SP.POP.1564.TO,3502580,3571404,3657541,3736262,3794669,3827956,3856448,3897608,3945406,3990432,4010077,4019156,4051031,4087143,4115551,4119692,4104647,4103964,4122053,4153251,4196675,4249432,4303627,4348045,4384968,4418349,4448774,4481182,4514400,4547760,4588480,4639599,4681335,4710769,4737721,4760577,4773251,4778093,4788310,4808519,4834520,4876090,4928794,4975418,5018239,5057797,5094920,5144347,5212618,5274942,5322134,5370853,5415898,5465907,5519725,5570098,5617272,5651831,5672674,5692838,5718170,5744388,5767505,5810825
Channel Islands,CHI,"Population ages 15-64, total",SP.POP.1564.TO,72441,72982,73816,74712,75588,76392,77149,77891,78549,79122,79628,80159,80891,81826,82898,84072,84940,85372,85781,86323,86969,87960,89369,90893,92346,93687,94912,96014,97077,98157,99292,99937,99937,99836,99753,99682,99779,100117,100528,100943,101360,101832,102427,103110,103843,104692,105682,106703,107634,108457,109229,109634,109640,109674,109810,109875,109768,109603,109637,109858,110031,110217,110438,110574
Chile,CHL,"Population ages 15-64, total",SP.POP.1564.TO,4646341,4735521,4830214,4931410,5037232,5146040,5256972,5368882,5482899,5600347,5721456,5847344,5978425,6113588,6252307,6394245,6538415,6683930,6830438,6977784,7126610,7276528,7426890,7578535,7730799,7882701,8033562,8184307,8334644,8481766,8626905,8769031,8907272,9044476,9182558,9322900,9465642,9611115,9763103,9920304,10078820,10239985,10404916,10574027,10747141,10923684,11101753,11276141,11444084,11605738,11762321,11912072,12049562,12176080,12298776,12418768,12567064,12777948,13022716,13240877,13358054,13414555,13480325,13549330
China,CHN,"Population ages 15-64, total",SP.POP.1564.TO,371559236,370867736,374266913,379719325,384868337,392612522,403403608,415622169,428303661,440697400,454157290,467708995,481257166,494171206,503799573,511378280,518367719,529194241,547455164,566750434,583911376,600684874,616917278,634524258,653356690,671728069,689600311,706250679,722138762,736292060,747598561,758339418,769130594,779198153,789946725,801384577,813614339,827353826,840318752,852015174,864134387,877323599,892055476,906742997,921202399,936278295,948574849,957013326,964056252,969905047,974711775,979169589,983323915,986145060,987810066,988372117,988168271,986648065,984110714,981777589,979302341,977528322,975760249,974720366
Cote d'Ivoire,CIV,"Population ages 15-64, total",SP.POP.1564.TO,2000211,2070931,2145037,2218952,2293773,2373126,2456456,2542832,2632854,2729807,2838088,2959559,3092998,3234576,3381348,3533599,3660022,3763480,3879183,4007204,4146763,4296663,4455892,4623662,4799162,4982255,5173420,5373045,5585232,5816321,6067441,6337294,6623791,6922679,7233100,7555443,7888322,8230669,8576763,8874696,9120703,9360960,9599009,9834410,10070555,10312553,10560998,10816307,11178135,11634689,12074302,12491401,12879867,13244024,13593007,13950254,14334538,14732523,15142605,15566410,15996982,16453786,16961781,17501177
Cameroon,CMR,"Population ages 15-64, total",SP.POP.1564.TO,2917112,2942436,2981958,3034298,3086428,3142007,3201884,3265175,3332151,3402829,3477330,3555472,3637002,3721979,3810254,3901526,3987261,4067075,4157933,4255642,4388506,4543830,4614308,4663758,4779641,4917579,5062472,5214044,5366916,5522784,5688021,5858434,6033930,6218908,6411935,6611367,6820333,7039509,7263724,7489736,7719800,7959226,8212914,8474650,8739363,9007186,9278966,9565056,9864689,10170067,10481253,10796759,11121238,11461049,11859881,12291046,12696542,13081170,13472748,13893673,14331770,14781620,15247384,15736799
"Congo, Dem. Rep.",COD,"Population ages 15-64, total",SP.POP.1564.TO,8258215,8494375,8737249,8980859,9219219,9461978,9717280,9985082,10261385,10537934,10813715,11074391,11327923,11596548,11874744,12159864,12443972,12728867,13152055,13679088,14129043,14539218,14983685,15481857,16034337,16588597,17104606,17630456,18182258,18735964,19354747,19989296,20653054,21397485,22588611,23588650,23734691,23787939,24323865,25155223,25948179,26758418,27555670,28323751,29132423,30026563,30942337,31843036,32760546,33745933,34846693,36052988,37292715,38578526,39902922,41233619,42791701,44476226,45956383,47337200,48821791,50399447,52040020,53787049
"Congo, Rep.",COG,"Population ages 15-64, total",SP.POP.1564.TO,567956,579778,591843,604867,618999,634161,650506,667556,685363,703946,723317,743533,764573,786486,809164,829695,848127,867293,887406,908767,931511,955410,979662,1003915,1032597,1065801,1099720,1134910,1171132,1209245,1249070,1290274,1332124,1377713,1424191,1468573,1513847,1544996,1579506,1630335,1714961,1799879,1844500,1902297,1980096,2065104,2156307,2246215,2323445,2426306,2535422,2611127,2671346,2719457,2770559,2825697,2886968,2955363,3029269,3107706,3191340,3279518,3373244,3474886
Colombia,COL,"Population ages 15-64, total",SP.POP.1564.TO,7859575,8081078,8312881,8551838,8807074,9082524,9368218,9665603,9977277,10301139,10638153,10981851,11336809,11711540,12099118,12496428,12899235,13321068,13766804,14223582,14697711,15181898,15671134,16175391,16683199,17172348,17643146,18108066,18575307,19048367,19531522,20008011,20487139,20977668,21474030,21981200,22494969,23022399,23562299,24096862,24613759,25125806,25643164,26164815,26693916,27226917,27760710,28295608,28823003,29347248,29865872,30360769,30831937,31289253,31719365,32128090,32587468,33230636,34024305,34779344,35375771,35825579,36237340,36638790
